Chinese,Pinyin,English
阿姨,āyí,aunt
啊,a,ah
矮,ǎi,short
爱好,àihào,hobby
安静,ānjìng,Be quiet
把,bǎ,hold
班,bān,class
搬,bān,turn; pull
半,bàn,half
办法,bànfǎ,Way
办公室,bàngōngshì,Office
帮忙,bāngmáng,Help
包,bāo,package
饱,bǎo,full
北方,běifāng,north
被,bèi,cover
鼻子,bízi,nose
比,bǐ,than
比较,bǐjiào,compare
比赛,bǐsài,Match
必须,bìxū,Must
变化,biànhuà,change
表示,biǎoshì,Express
表演,biǎoyǎn,perform
别人,biéren,Others
宾馆,bīnguǎn,hotel
冰箱,bīngxiāng,Refrigerator
才,cái,just
菜单,càidān,menu
参加,cānjiā,participate in
草,cǎo,grass
层,céng,layer
差,chà,difference
超市,chāoshì,Supermarket
衬衫,chènshān,shirt
成绩,chéngjì,achievement
城市,chéngshì,City
迟到,chídào,Late
出现,chūxiàn,Appear
厨房,chúfáng,Kitchen
除了,chúle,except
春,chūn,spring
词语,cíyǔ,terms
聪明,cōngming,clever
打扫,dǎsǎo,Clean
打算,dǎsuàn,Plan
带,dài,belt
担心,dānxīn,Worry
蛋糕,dàngāo,Cake
当然,dāngrán,Of course
地,de,
灯,dēng,lamp
低,dī,low
地方,dìfang,local
地铁,dìtiě,metro
地图,dìtú,Map
电梯,diàntī,Elevator.
电子邮件,diànzǐyóujiàn,E-mail
东,dōng,east
冬,dōng,winter
动物,dòngwù,Animal
短,duǎn,short
段,duàn,paragraph
锻炼,duànliàn,Physical exercise
多么,duōme,what
饿,è,hungry
而且,érqiě,And
耳朵,ěrduo,Ears
发烧,fāshāo,Have a fever
发现,fāxiàn,find
方便,fāngbiàn,convenient
放,fàng,discharge
放心,fàngxīn,Don’t worry
分,fēn,branch
附近,fùjìn,nearby
复习,fùxí,Review
干净,gānjìng,clean
敢,gǎn,dare
感冒,gǎnmào,Cold
刚才,gāngcái,just
跟,gēn,with
根据,gēnjù,according to
更,gèng,more
公司,gōngsī,company
公园,gōngyuán,Park
故事,gùshi,Story
刮风,guāfēng,Windy
关,guān,shut
关系,guānxì,relationship
关心,guānxīn,Care for
关于,guānyú,about
国家,guójiā,Country
果汁,guǒzhī,fruit juice
过去,guòqù,Past times
还是,háishì,still
害怕,hàipà,Fear
河,hé,river
黑板,hēibǎn,blackboard
护照,hùzhào,passport
花 （动）,huā,Flower (move)
花园,huāyuán,Garden
画,huà,painting
坏,huài,bad
环境,huánjìng,Environmental Science
换,huàn,change
黄,huáng,yellow
会议,huìyì,Meeting
或者,huòzhě,perhaps
几乎,jīhū,almost
机会,jīhuì,Opportunity
极,jí,extremely
记得,jìde,remember
季节,jìjié,Season
检查,jiǎnchá,inspect
简单,jiǎndān,simple
健康,jiànkāng,Healthy
见面,jiànmiàn,meet
讲,jiǎng,speak
教,jiāo,teach
角,jiǎo,horn
脚,jiǎo,foot
接,jiē,meet
街道,jiēdào,Street
结婚,jiéhūn,marry
结束,jiéshù,End
节目,jiémù,program
节日,jiérì,festival
解决,jiějué,Solve
借,jiè,borrow
经常,jīngcháng,Often
经过,jīngguò,after
经理,jīnglǐ,manager
久,jiǔ,long
旧,jiù,used
举行,jǔxíng,hold
句子,jùzi,sentence
决定,juédìng,Decision
渴,kě,thirsty
可爱,kě’ài,Lovely
刻,kè,moment
客人,kèrén,Guest
空调,kōngtiáo,Air conditioner
口,kǒu,mouth
哭,kū,cry
裤子,kùzi,trousers
筷子,kuàizi,chopsticks
蓝,lán,blue
老,lǎo,old
离开,líkāi,leave
里,lǐ,in
礼物,lǐwù,gift
历史,lìshǐ,History
脸,liǎn,face
练习,liànxí,Practice
辆,liàng,Car
了解,liǎojiě,understand
邻居,línjū,neighbor
楼,lóu,floor
绿,lǜ,green
马,mǎ,Horse
马上,mǎshàng,Right off
卖,mài,sell
满意,mǎnyì,Satisfied
帽子,màozi,Hat
米,mǐ,rice
面包,miànbāo,Bread
面条,miàntiáo,noodle
明白,míngbai,clear
拿,ná,take
哪 （哪儿）,nǎ(nǎr),Which (where)
那 （那儿）,nà(nàr),That (there)
奶奶,nǎinai,grandma
南,nán,south
难,nán,disaster; blame
难过,nánguò,Sorry
年级,niánjí,grade
年轻,niánqīng,Young
鸟,niǎo,bird
努力,nǔlì,Strive
爬山,páshān,Mountain climbing
盘子,pánzi,plate
胖,pàng,fat
啤酒,píjiǔ,Beer
葡萄,pútao,Grape
普通话,pǔtōnghuà,Mandarin
其实,qíshí,actually
其他,qítā,Other
骑,qí,ride
奇怪,qíguài,strange
铅笔,qiānbǐ,pencil
清楚,qīngchu,clear
秋,qiū,autumn
裙子,qúnzi,skirt
然后,ránhòu,Then
热情,rèqíng,Enthusiasm
认为,rènwéi,think
认真,rènzhēn,earnest
容易,róngyì,easily
如果,rúguǒ,If
伞,sǎn,umbrella
上网,shàngwǎng,Surf the Internet
生气,shēngqì,get angry
声音,shēngyīn,voice
使,shǐ,send
世界,shìjiè,world
瘦,shòu,thin
舒服,shūfu,comfortable
叔叔,shūshu,uncle
树,shù,tree
数学,shùxué,Mathematics
刷牙,shuāyá,Brush one’s teeth
双,shuāng,double
水平,shuǐpíng,level
司机,sījī,Driver
虽然,suīrán,although
太阳,tàiyáng,sunlight
糖,táng,sugar
特别,tèbié,Especially
疼,téng,They hurt
提高,tígāo,increase
体育,tǐyù,Sports
甜,tián,sweet
条,tiáo,strip
同事,tóngshì,Colleague
同意,tóngyì,Agree
头发,tóufa,Hair
突然,tūrán,suddenly
图书馆,túshūguǎn,Library
腿,tuǐ,leg
完成,wánchéng,complete
碗,wǎn,bowl
万,wàn,ten thousand
忘记,wàngjì,forget
为,wèi,by
为了,wèile,in order to
位,wèi,position
文化,wénhuà,Culture
西,xī,west
习惯,xíguàn,Habit
洗手间,xǐshǒujiān,Restroom
洗澡,xǐzǎo,Take a shower
夏,xià,summer
先,xiān,before
香蕉,xiāngjiāo,Banana
相同,xiāngtóng,identical
相信,xiāngxìn,believe
像,xiàng,image
小心,xiǎoxīn,Look out
校长,xiàozhǎng,Principal
鞋,xié,shoes
新闻,xīnwén,Journalism
新鲜,xīnxiān,fresh
信,xìn,letter
行李箱,xínglixiāng,Trunk
兴趣,xìngqù,Interest
熊猫,xióngmāo,Panda
需要,xūyào,Need
选择,xuǎnzé,Choice
眼镜,yǎnjìng,glasses
要求,yāoqiú,Requirement
爷爷,yéye,grandpa
一定,yídìng,Certain
一共,yígòng,Altogether
一会儿,yíhuìr,A little while
一样,yíyàng,equally
以后,yǐhòu,In the future
以前,yǐqián,before
以为,yǐwéi,Think
一般,yìbān,commonly
一边,yìbiān,One side
一直,yìzhí,always
音乐,yīnyuè,Music
银行,yínháng,Bank
应该,yīnggāi,Should
影响,yǐngxiǎng,Influence
用,yòng,use
游戏,yóuxì,Game
有名,yǒumíng,Famous
又,yòu,also
遇到,yùdào,encounter
愿意,yuànyì,Be willing
月亮,yuèliang,Moon
越,yuè,The more
云,yún,cloud
站,zhàn,station
着急,zháojí,Worry
照顾,zhàogù,look after
照片,zhàopiàn,Photo
照相机,zhàoxiàngjī,Camera
这 （这儿）,zhè(zhèr),Here (here)
只,zhǐ,only
中间,zhōngjiān,Middle
终于,zhōngyú,finally
种,zhǒng,species
重要,zhòngyào,important
周末,zhōumò,Weekend
主要,zhǔyào,main
祝,zhù,wish
注意,zhùyì,Be careful
字典,zìdiǎn,Dictionaries
自己,zìjǐ,Own
总是,zǒngshì,always
最近,zuìjìn,Lately
作业,zuòyè,homework
作用,zuòyòng,Effect
